city,house_title,house_type,price,owner_name,no_of_reviews,rating,occupancy
Manhattan,A Unique studio apartment,Entire apartment,$140 ,Michael,195 Reviews,5,"['3 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n474 Reviews', '\U000f0019\nVerified']"
Manhattan,Modern Condo in Midtown,Private room in apartment,$159 ,Welcome To My Place,311 Reviews,5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n314 Reviews', '\U000f0019\nVerified']"
Manhattan,Cozy Apartment Near Times Square,Entire apartment,$135 ,Mike,225 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n276 Reviews', '\U000f0019\nVerified']"
Manhattan,Amazingly well located 2 bedroom/2 bath apartment,Entire apartment,$125 ,John,39 Reviews,4.5,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '\U000f0004\n39 Reviews']"
Manhattan,RENOVATED/BEST LOCATION in MIDTOWN,Private room in townhouse,$190 ,Marta,162 Reviews,5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n307 Reviews', '\U000f0019\nVerified']"
Manhattan,Near Times Square and Hell's Kitchen,Private room in apartment,$140 ,Claude,343 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n347 Reviews', '\U000f0019\nVerified']"
Manhattan,Fun Spacious Midtown Apt near U.N. & Central Park,Entire apartment,$175 ,Christian,129 Reviews,5,"['5 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n135 Reviews', '\U000f0019\nVerified']"
Manhattan,Elegant Private Apartment in a Historic Brownstone,Private room in townhouse,$108 ,Jacob,104 Reviews,5,"['4 guests', 'Studio', '2 beds', '1 private bath', '\U000f0004\n874 Reviews', '\U000f0019\nVerified']"
Manhattan,Cozy Apartment Next To Central Park,Entire apartment,$150 ,Lenny,103 Reviews,4.5,"['5 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n142 Reviews', '\U000f0019\nVerified']"
Manhattan,"Manhattan, Room w/ 2 Beds Near Central Park &Metro",Private room in house,$99 ,Joo,143 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n987 Reviews', '\U000f0019\nVerified']"
Manhattan,Miltons place,Entire apartment,$90 ,Milton,8 Reviews,5,"['4 guests', 'Studio', '0 beds', '1 bath', '\U000f0004\n18 Reviews', '\U000f0019\nVerified']"
Manhattan,Super well located 2 BR 2 bath apt in Manhattan,Entire apartment,$150 ,Gina,18 Reviews,4.5,"['8 guests', '2 bedrooms', '4 beds', '2 baths', '\U000f0004\n18 Reviews', '\U000f0019\nVerified']"
Manhattan,Modernly Designed studIo in turtle bay area~402~,Entire apartment,$105 ,Lior,101 Reviews,4.5,"['4 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n134 Reviews', '\U000f0019\nVerified']"
Manhattan,Cute studio in the Upper West Side.,Entire apartment,$109 ,Ai,9 Reviews,5,"['3 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n25 Reviews', '\U000f0019\nVerified']"
Manhattan,HELL'S KITCHEN STUDIO for 2 or 3,Entire apartment,$135 ,Rod,204 Reviews,4.5,"['3 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n224 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']"
Manhattan,SPACIOUS SCANDINAVIAN DESIGNER APT/Luxury building,Entire apartment,$97 ,Teresa,20 Reviews,5,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n98 Reviews', '\U000f0019\nVerified']"
Manhattan,Modern Studio in the center of Manhattan!,Entire apartment,$95 ,Olivier,83 Reviews,4.5,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n83 Reviews', '\U000f0019\nVerified']"
Manhattan,Soho Apartment Stylish & Central,Entire condominium,$190 ,Arne,346 Reviews,4.5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n851 Reviews', '\U000f0019\nVerified']"
Manhattan,Clean and comfortable 3 person private room,Private room in apartment,$80 ,Kristy,88 Reviews,4.5,"['3 guests', '1 bedroom', '3 beds', '1.5 shared baths', '\U000f0004\n286 Reviews', '\U000f1101\n3 References', '\U000f0019\nVerified']"
Manhattan,"Manhattan, Clean Room Near Central Park & Subway",Private room in house,$79 ,Joo,150 Reviews,5,"['3 guests', '1 bedroom', '3 beds', '2 shared baths', '\U000f0004\n987 Reviews', '\U000f0019\nVerified']"
Manhattan,Stunning studio APT in the heart of NYC,Entire apartment,$140 ,Eli,103 Reviews,4.5,"['3 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n105 Reviews', '\U000f0019\nVerified']"
Manhattan,"Classic Brownstone, a Private Studio Apartment",Private room in townhouse,$134 ,Jacob,132 Reviews,4.5,"['5 guests', 'Studio', '2 beds', '1 private bath', '\U000f0004\n874 Reviews', '\U000f0019\nVerified']"
Manhattan,Sunny bedroom with Park views in East Village!,Private room in apartment,$122 ,Alfredo,177 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n457 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']"
Manhattan,NEW! BEST LOCATION !!! 3min to Rockefeller Plaza,Private room in townhouse,$190 ,Marta,145 Reviews,5,"['4 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n307 Reviews', '\U000f0019\nVerified']"
Manhattan,Nice studio in Midtown Manhattan,Entire apartment,$219 ,Zahid,162 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n162 Reviews', '\U000f0019\nVerified']"
Manhattan,Bright Cozy Chinatown Studio Apt.,Entire apartment,$160 ,Patricia,272 Reviews,5,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n275 Reviews', '\U000f0019\nVerified']"
Manhattan,Clean style apt. Central midtwn near Javits,Private room in apartment,$164 ,CZ Casa,178 Reviews,4.5,"['4 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n179 Reviews', '\U000f0019\nVerified']"
Manhattan,Brownstone studio near central park,Entire apartment,$150 ,Lucia,125 Reviews,4.5,"['3 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n282 Reviews', '\U000f0019\nVerified']"
Manhattan,Harlem Monthly Rental True Two Bedroom 1 Bath,Entire townhouse,$99 ,Enid,3 Reviews,4.5,"['6 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n136 Reviews', '\U000f0019\nVerified']"
Manhattan,Sunny Private Studio-Apartment,Entire apartment,$119 ,Alexandra,129 Reviews,5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n304 Reviews', '\U000f0019\nVerified']"
Manhattan,★HUGE beautiful E. Villager 2nd Av★,Entire apartment,$150 ,Zev,304 Reviews,4.5,"['5 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n613 Reviews', '\U000f0019\nVerified']"
Manhattan,Cozy front room in a 2 bedroom family apt near CU,Private room in apartment,$70 ,Anna & Keith,114 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n116 Reviews', '\U000f0019\nVerified']"
Manhattan,Great apartment in the heart of Manhattan!,Entire apartment,$160 ,Jamie And John,109 Reviews,4.5,"['5 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n547 Reviews']"
Manhattan,THE SMALL CHATEAU IN THE TREES,Private room in apartment,$200 ,Stefanie Elizabeth,189 Reviews,5,"['3 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n193 Reviews']"
Manhattan,Clean & sunny private room (fits 3),Private room in apartment,$77 ,Kristy,64 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1.5 shared baths', '\U000f0004\n286 Reviews', '\U000f1101\n3 References', '\U000f0019\nVerified']"
Manhattan,Downtown Airy Designer Loft,Entire apartment,$179 ,Jaclyn,171 Reviews,5,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n172 Reviews', '\U000f0019\nVerified']"
Manhattan,Modern Central Park Apartment close to everything,Entire apartment,$199 ,Bozhena,150 Reviews,4.5,"['4 guests', '1 bedroom', '4 beds', '1 bath', '\U000f0004\n337 Reviews', '\U000f0019\nVerified']"
Manhattan,"Manhattan East Village, lower East Side",Entire apartment,$157 ,Marie L,126 Reviews,5,"['3 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n155 Reviews', '\U000f0019\nVerified']"
Manhattan,Harlem Monthly Rental True Two Bedroom 1 Bath,Entire townhouse,$99 ,Enid,3 Reviews,4.5,"['6 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n136 Reviews', '\U000f0019\nVerified']"
Manhattan,Luxury! Rooftop Pool! Empire State Building View!,Entire condominium,$189 ,Emily,5 Reviews,5,"['5 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n9 Reviews', '\U000f0019\nVerified']"
Manhattan,New Private studio-apartment,Entire apartment,$100 ,Alexandra,59 Reviews,4.5,"['4 guests', 'Studio', '0 beds', '1 bath', '\U000f0004\n304 Reviews', '\U000f0019\nVerified']"
Manhattan,Middle of center of New York City!,Entire apartment,$155 ,Anders,138 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n609 Reviews', '\U000f0019\nVerified']"
Manhattan,"Cozy, Luxury, Modern Stone Chelsea Apartment",Entire apartment,$127 ,Alberto,61 Reviews,5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n112 Reviews', '\U000f0019\nVerified']"
Manhattan,WeLive Wall Street -- Studio+,Entire serviced apartment,$229 ,WeWork,233 Reviews,5,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n506 Reviews', '\U000f0019\nVerified']"
Manhattan,Cute Apartment in Hell's Kitchen,Entire apartment,$200 ,Jennifer,190 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n190 Reviews']"
Manhattan,"Manhattan, Room w/3 Beds Near Metro & Central Park",Private room in apartment,$95 ,Joo,129 Reviews,5,"['4 guests', '1 bedroom', '3 beds', '1 shared bath', '\U000f0004\n987 Reviews', '\U000f0019\nVerified']"
Manhattan,Luxury Miami style apartment,Entire apartment,$111 ,Anthony,,,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0019\nVerified']"
Manhattan,Luxe Tuscan Suite Private Room,Private room in apartment,$76 ,Anne,228 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n550 Reviews', '\U000f0019\nVerified']"
Manhattan,Midtown Sleep 6 Central Convenience,Entire apartment,$177 ,Adam,228 Reviews,5,"['6 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n229 Reviews', '\U000f0019\nVerified']"
Manhattan,CONFI & LOVELY APARTMENT LOWER EAST!WALK EVERYWERE,Entire apartment,$120 ,Antina,96 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n497 Reviews']"
Manhattan,Central Park View-Free Museum Tickets-Private Room,Private room in apartment,$100 ,Omar,76 Reviews,5,"['3 guests', '1 bedroom', '3 beds', '1 private bath', '\U000f0004\n102 Reviews', '\U000f0019\nVerified']"
Manhattan,BEAUTIFUL 1 BEDROOM Heart of Upper East Side!!,Entire apartment,$70 ,Albina,21 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n22 Reviews', '\U000f0019\nVerified']"
Manhattan,Spacious Luxury Wall Street Suite,Entire apartment,$209 ,Vic,116 Reviews,4.5,"['5 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n116 Reviews', '\U000f0019\nVerified']"
Manhattan,BEAUTIFUL 1 BEDROOM Heart of Upper East Side!!,Entire apartment,$70 ,Albina,21 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n22 Reviews', '\U000f0019\nVerified']"
Manhattan,BEST LOCATION in MANHATTAN!,Entire apartment,$164 ,Regina Kira,186 Reviews,5,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n194 Reviews', '\U000f0019\nVerified']"
Manhattan,NICE 1 BDR- TIMES SQ/MIDTOWN- 4 ppl,Entire apartment,$120 ,Dc,169 Reviews,4.5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n342 Reviews', '\U000f0019\nVerified']"
Manhattan,Spacious Luxury Wall Street Suite,Entire apartment,$209 ,Vic,116 Reviews,4.5,"['5 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n116 Reviews', '\U000f0019\nVerified']"
Manhattan,"Manhattan Room w/2 beds, near Central Park & Metro",Private room in apartment,$95 ,Joo,94 Reviews,5,"['3 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n987 Reviews', '\U000f0019\nVerified']"
Manhattan,"BIG ONE BEDROOM LOFT!, COZY&CONFI Live Manhattan!",Entire loft,$180 ,Matt,101 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n175 Reviews', '\U000f0019\nVerified']"
Manhattan,AMAZING DESIGNER TIMES SQUARE APARTMENT- BEAUTIFUL,Entire apartment,$219 ,Charly,95 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n95 Reviews', '\U000f0019\nVerified']"
Manhattan,1 BEDROOM APARTMENT IN UPPER EAST,Entire apartment,$177 ,Francesco,224 Reviews,4,"['4 guests', '2 bedrooms', '1 bed', '1 bath', '\U000f0004\n261 Reviews', '\U000f0019\nVerified']"
Manhattan,"1 BED ROOM ACCOMMODATION 4, 5 GUEST",Entire apartment,$145 ,"Manny , Job",189 Reviews,4.5,"['5 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n189 Reviews', '\U000f0019\nVerified']"
Manhattan,SPACIOUS SUNNY STUDIO 5MIN TIMES SQ,Entire apartment,$175 ,Lola,170 Reviews,4.5,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n170 Reviews', '\U000f0019\nVerified']"
Manhattan,Midtown great location private Apt,Entire apartment,$151 ,George,204 Reviews,4.5,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n205 Reviews']"
Manhattan,Modern 1 bedroom 5min Cental Park,Entire apartment,$169 ,Lily,164 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n166 Reviews', '\U000f0019\nVerified']"
Manhattan,2 floor Apt w 300sqft Terrace,Entire apartment,$195 ,Evan,66 Reviews,4,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n72 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']"
Manhattan,Traveller's Flat – Hell's Kitchen,Entire apartment,$180 ,Marco,96 Reviews,5,"['6 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n360 Reviews', '\U000f0019\nVerified']"
Manhattan,"Manhattan, Gigantic Rm Nearby Central Park & Metro",Private room in house,$109 ,Joo,170 Reviews,5,"['5 guests', '1 bedroom', '3 beds', '2 shared baths', '\U000f0004\n987 Reviews', '\U000f0019\nVerified']"
Manhattan,True Two Bedroom Apartment in Lower Manhattan,Entire apartment,$160 ,Arielle,212 Reviews,4.5,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n255 Reviews', '\U000f0019\nVerified']"
Manhattan,"Two double beds, New York, Chinatown, #2",Private room in apartment,$130 ,Amiee,71 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n175 Reviews', '\U000f0019\nVerified']"
Manhattan,"Big, cozy & chic! 1BR Apt in Harlem",Entire apartment,$100 ,Calatayud Family,183 Reviews,5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n275 Reviews', '\U000f0019\nVerified']"
Manhattan,"Two double beds, New York, Chinatown, #2",Private room in apartment,$130 ,Amiee,71 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n175 Reviews', '\U000f0019\nVerified']"
Manhattan,Best of SOHO Gorgeous 2 bedroom,Entire condominium,$275 ,Arne,343 Reviews,4.5,"['5 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n851 Reviews', '\U000f0019\nVerified']"
Manhattan,One Bedroom Mini studio - Free WIFI,Entire apartment,$140 ,Nazleen,190 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n199 Reviews', '\U000f0019\nVerified']"
Manhattan,Charming Bedroom in hip Lower East Side!,Private room in apartment,$65 ,Angie,114 Reviews,4,"['3 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n258 Reviews', '\U000f0019\nVerified']"
Manhattan,"Big, cozy & chic! 1BR Apt in Harlem",Entire apartment,$100 ,Calatayud Family,183 Reviews,5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n275 Reviews', '\U000f0019\nVerified']"
Manhattan,Huge 5BR Townhouse - LEGAL NYC B&B!,Entire townhouse,$300 ,Elizabeth,136 Reviews,5,"['13 guests', '5 bedrooms', '6 beds', '2.5 baths', '\U000f0004\n137 Reviews', '\U000f0019\nVerified']"
Manhattan,Cozy Private studio-apartment,Entire apartment,$110 ,Irina,55 Reviews,5,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n55 Reviews', '\U000f0019\nVerified']"
Manhattan,"Brownstone Sanctuary, a Private Studio Apartment",Private room in townhouse,$124 ,Jacob,128 Reviews,4.5,"['4 guests', '1 bedroom', '3 beds', '1 private bath', '\U000f0004\n874 Reviews', '\U000f0019\nVerified']"
Manhattan,"Gorgeous Space, Industrial NYC Apt",Entire apartment,$149 ,Jetsan,259 Reviews,4,"['8 guests', '2 bedrooms', '5 beds', '1 bath', '\U000f0004\n569 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']"
Manhattan,AMAZING 1 BR- TIME SQUARE-SLEEPS 4,Entire apartment,$200 ,E. M.,324 Reviews,4.5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n1233 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']"
Manhattan,Home Sweet Harlem,Entire apartment,$130 ,Nykeisha,101 Reviews,5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n101 Reviews', '\U000f0019\nVerified']"
Manhattan,Sweet 1-Bedroom in Upper East Side by Central Park,Entire apartment,$130 ,Chuck,111 Reviews,4.5,"['5 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n119 Reviews', '\U000f0019\nVerified']"
Manhattan,Beautiful private studio near central park,Entire apartment,$150 ,Lucia,151 Reviews,4.5,"['3 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n282 Reviews', '\U000f0019\nVerified']"
Manhattan,"Walk everywhere, See everything! 2BR Midtown West",Private room in apartment,$150 ,Julien,98 Reviews,5,"['7 guests', '2 bedrooms', '3 beds', '1 private bath', '\U000f0004\n116 Reviews', '\U000f0019\nVerified']"
Manhattan,"Manhattan, X Large Rm Near Central Park and Metro",Private room in apartment,$109 ,Joo,157 Reviews,4.5,"['4 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n987 Reviews', '\U000f0019\nVerified']"
Manhattan,Cozy Studio Apartment 2 Beds on Wall Street,Entire apartment,$173 ,Jon,144 Reviews,5,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n144 Reviews', '\U000f0019\nVerified']"
Manhattan,Nice Private Studio Apartment,Entire apartment,$120 ,Alexandra,116 Reviews,4.5,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n304 Reviews', '\U000f0019\nVerified']"
Manhattan,Manhattan Midtown West Cozy&Modern,Entire apartment,$185 ,Al,246 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n298 Reviews', '\U000f0019\nVerified']"
Manhattan,Victorian Sanctuary in a Historic Brownstone,Private room in townhouse,$98 ,Jacob,83 Reviews,4.5,"['3 guests', '1 bedroom', '2 beds', '1 shared bath', '\U000f0004\n874 Reviews', '\U000f0019\nVerified']"
Manhattan,Charming One Bed Room Apartment,Entire apartment,$145 ,Olga,162 Reviews,4,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n162 Reviews', '\U000f0019\nVerified']"
Manhattan,Private bedroom with queen bed and single bed.,Private room in apartment,$76 ,Kate,92 Reviews,4,"['3 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n255 Reviews', '\U000f0019\nVerified']"
Manhattan,Your Stunning Vacation Apartment!,Entire apartment,$124 ,Will,308 Reviews,4.5,"['16+ guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n343 Reviews', '\U000f1101\n9 References', '\U000f0019\nVerified']"
Manhattan,Classic 3 Bedroom Upper West Side Apartment,Entire apartment,$140 ,Yaron,1 Review,,"['6 guests', '3 bedrooms', '3 beds', '1.5 baths', '\U000f0004\n2 Reviews', '\U000f0019\nVerified']"
Manhattan,❤️ Furnished One Bedroom with Terrace!! ★★★★★,Entire apartment,$149 ,Mark,95 Reviews,5,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n102 Reviews', '\U000f0019\nVerified']"
Manhattan,Centrally Located Comfy 2BR Midtown Apartment,Entire apartment,$229 ,Akon,98 Reviews,5,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n98 Reviews', '\U000f0019\nVerified']"
Manhattan,Metro-luxe Tuscan Suite Private Room,Private room in apartment,$75 ,Anne,272 Reviews,4.5,"['4 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n550 Reviews', '\U000f0019\nVerified']"
Manhattan,Times Square NYC Apartment,Entire apartment,$149 ,Dana And Mal,143 Reviews,4.5,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n143 Reviews', '\U000f0019\nVerified']"
Manhattan,Huge Private Bedroom/Private Bath in Times Sq/HK,Private room in apartment,$149 ,Shawn,246 Reviews,5,"['3 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n372 Reviews', '\U000f1101\n3 References', '\U000f0019\nVerified']"
Manhattan,Two real bedrooms near Central Park,Entire apartment,$179 ,Lang,195 Reviews,4,"['7 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n274 Reviews']"
Manhattan,Peaceful & Cozy 1Br Apt in Residential Harlem,Entire apartment,$115 ,Manuel,88 Reviews,5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n91 Reviews', '\U000f0019\nVerified']"
Manhattan,Flex 2 Bedroom Apt w/ 3 Bed on Wall St (sleeps 5),Entire apartment,$209 ,Jb,142 Reviews,5,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n142 Reviews', '\U000f0019\nVerified']"
Manhattan,Spacious 2 Bedroom Lower East Side,Entire apartment,$150 ,Sandra,156 Reviews,5,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n156 Reviews', '\U000f0019\nVerified']"
Manhattan,Charming Manhattan-Midtown Studio,Entire apartment,$194 ,Roman,148 Reviews,4.5,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n152 Reviews', '\U000f0019\nVerified']"
