city,hotel_name,acc_type,price,hotel_star,no_of_ratings,rating,occupancy,no_of_rooms
Manhattan,"Fitzpatrick Manhattan Hotel, New York",HOTEL,178,4,539,9,1,3
Manhattan,"Hotel Mulberry, New York",HOTEL,139,3,600,9,1,3
Manhattan,"DoubleTree by Hilton New York Times Square West, New York",HOTEL,95,4,1715,8,1,3
Manhattan,"WestHouse New York, New York",HOTEL,155,5,749,8.4,1,3
Manhattan,"Hotel On Rivington, New York",HOTEL,266,4,330,8.4,1,3
Manhattan,"Hilton Garden Inn New York/Midtown Park Ave, New York",HOTEL,100,3.5,696,8.8,1,3
Manhattan,"Homewood Suites New York/Midtown Manhattan Times Square, New York",HOTEL,129,3.5,1446,9,1,3
Manhattan,"The Langham, New York, Fifth Avenue, New York",HOTEL,401,5,548,9.4,1,3
Manhattan,"Hampton Inn Manhattan Grand Central, New York",HOTEL,114,3,436,8.8,1,3
Manhattan,"The Marcel at Gramercy, New York",HOTEL,129,4,739,8.2,1,3
Manhattan,"The Ridge Hotel, New York",HOTEL,104,3,234,8.4,1,3
Manhattan,"INNSIDE by MeliÃ  New York Nomad, New York",HOTEL,172,4.5,1472,8.8,1,3
Manhattan,"Hotel St. James, New York",HOTEL,231,2.5,3644,7.6,1,3
Manhattan,"Courtyard by Marriott New York Manhattan/Upper East Side, New York",HOTEL,119,3.5,1186,8.2,1,3
Manhattan,"Hotel Edison, New York",HOTEL,87,3.5,4500,7.6,1,3
Manhattan,"Courtyard by Marriott New York Manhattan / Central Park, New York",HOTEL,179,3.5,490,8.6,1,3
Manhattan,"Hotel Mimosa, New York",HOTEL,153,2.5,291,8.2,1,3
Manhattan,"YOTEL New York, New York",HOTEL,129,4,6367,8.4,1,3
Manhattan,"The Townhouse Inn of Chelsea, New York",HOTEL,199,3.5,321,9,1,3
Manhattan,"Hilton Garden Inn Times Square, New York",HOTEL,99,3.5,1933,8.6,1,3
Manhattan,"Residence Inn New York Manhattan/Central Park, New York",HOTEL,219,3.5,558,8.8,1,3
Manhattan,"Four Points by Sheraton Midtown-Times Square, New York",HOTEL,115,3.5,631,8.4,1,3
Manhattan,"Sanctuary NYC Retreats, New York",HOTEL,134,3,87,9.2,1,3
Manhattan,"Royalton Park Avenue, New York",HOTEL,150,5,618,8.6,1,3
Manhattan,"Roxy Hotel Tribeca, New York",HOTEL,219,4.5,841,9,1,3
Manhattan,"Marrakech Hotel New York City, New York",HOTEL,85,3,822,6.4,1,3
Manhattan,"Skyline Hotel, New York",HOTEL,158,3,880,8,1,3
Manhattan,"Club Quarters Hotel, Grand Central, New York",HOTEL,137,4,1208,8.8,1,3
Manhattan,"The Time New York, New York",HOTEL,159,4.5,722,8.4,1,3
Manhattan,"Hotel Giraffe by Library Hotel Collection, New York",HOTEL,251,4,316,9.6,1,3
Manhattan,"Baccarat Hotel and Residences New York, New York",HOTEL,945,5,109,9.4,1,3
Manhattan,"The Marmara Park Avenue, New York",HOTEL,293,5,380,8.8,1,3
Manhattan,"The Library Hotel by Library Hotel Collection, New York",HOTEL,287,4,265,9.6,1,3
Manhattan,"Hotel Wales, New York",HOTEL,183,3.5,371,8.2,1,3
Manhattan,"Aloft Harlem, New York",HOTEL,143,3.5,329,8.4,1,3
Manhattan,"DoubleTree by Hilton New York City - Chelsea, New York",HOTEL,103,4,1225,7.8,1,3
Manhattan,"Eurostars Wall Street, New York",HOTEL,103,4,347,7.4,1,3
Manhattan,"Holiday Inn Manhattan-Financial District, New York",HOTEL,95,4,1823,8.2,1,3
Manhattan,"Loews Regency New York Hotel, New York",HOTEL,459,5,635,9,1,3
Manhattan,"Warwick New York, New York",HOTEL,153,4.5,1529,8.8,1,3
Manhattan,"Fairfield Inn & Suites New York Midtown Manhattan/Penn Station, New York",HOTEL,134,3,1131,8.8,1,3
Manhattan,"The High Line Hotel, New York",HOTEL,199,4,215,8.8,1,3
Manhattan,"Bentley Hotel, New York",HOTEL,129,4,1349,7.8,1,3
Manhattan,"The Paul Hotel NYC-Chelsea, an Ascend Hotel Collection Member, New York",HOTEL,116,4,608,7.8,1,3
Manhattan,"Courtyard New York Manhattan/Times Square West, New York",HOTEL,111,3.5,727,9,1,3
Manhattan,"Hudson New York, Central Park, New York",HOTEL,149,4,2381,6.6,1,3
Manhattan,"The London NYC, New York",HOTEL,427,4.5,638,8.4,1,3
Manhattan,"AKA Times Square, New York",HOTEL,295,4,86,9,1,3
Manhattan,"Hotel Elysee by Library Hotel Collection, New York",HOTEL,212,4,305,9.4,1,3
Manhattan,"Hyatt House New York/Chelsea, New York",HOTEL,129,3.5,299,8.8,1,3
Manhattan,"Hyatt Centric Times Square New York, New York",HOTEL,219,4.5,1718,9,1,3
Manhattan,"Hampton Inn Manhattan/Times Square Central, New York",HOTEL,129,3.5,2213,9.2,1,3
Manhattan,"Room Mate Grace Boutique Hotel, New York",HOTEL,161,3.5,959,8.8,1,3
Manhattan,"Four Seasons Hotel New York, New York",HOTEL,1195,5,59,9.2,1,3
Manhattan,"The Nolitan, New York",HOTEL,190,3.5,99,8.6,1,3
Manhattan,"The Sohotel, New York",HOTEL,123,3,542,8.4,1,3
Manhattan,"Casablanca Hotel by Library Hotel Collection, New York",HOTEL,242,4,450,9.6,1,3
Manhattan,"The Evelyn Hotel, New York",HOTEL,143,4,773,8.2,1,3
Manhattan,"Mayfair New York, New York",HOTEL,123,3,1365,7,1,3
Manhattan,"Excelsior Hotel, New York",HOTEL,231,3.5,1297,8.6,1,3
Manhattan,"Washington Jefferson Hotel, New York",HOTEL,137,3.5,751,7.4,1,3
Manhattan,"Econo Lodge Times Square, New York",HOTEL,110,2.5,498,7.4,1,3
Manhattan,"The Roosevelt Hotel, New York City, New York",HOTEL,134,4,8923,6.8,1,3
Manhattan,"Harlem YMCA, New York",HOTEL,97,2,177,6.8,1,3
Manhattan,"Hotel Pennsylvania, New York",HOTEL,99,2.5,6818,4.8,1,3
Manhattan,"AKA Wall Street, New York",HOTEL,225,4,315,9.4,1,3
Manhattan,"Park Central Hotel New York, New York",HOTEL,95,4,4203,7.8,1,3
Manhattan,"The Hotel 91, New York",HOTEL,151,3,900,7.6,1,3
Manhattan,"The NoMad Hotel, New York",HOTEL,395,5,369,9.4,1,3
Manhattan,"Wyndham Midtown 45 at New York City, New York",HOTEL,209,3,58,7.4,1,3
Manhattan,"The Ludlow Hotel, New York",HOTEL,325,4.5,311,9.4,1,3
Manhattan,"Hotel 309, New York",HOTEL,100,2,275,5.2,1,3
Manhattan,"Lotte New York Palace, New York",HOTEL,325,4.5,2142,9.2,1,3
Manhattan,"Wolcott Hotel, New York",HOTEL,250,2.5,375,8.2,1,3
Manhattan,"Broadway Plaza Hotel, New York",HOTEL,149,3.5,1127,8.6,1,3
Manhattan,"CITY ROOMS NYC - Chelsea, New York",HOTEL,134,2,166,7.4,1,3
Manhattan,"Empire Hotel, New York",HOTEL,175,4,2364,7.4,1,3
Manhattan,"Hotel 31, New York",HOTEL,106,2,1079,8,1,3
Manhattan,"Arthouse Hotel New York City, New York",HOTEL,135,4,1862,8.6,1,3
Manhattan,"Marriott Vacation Club Pulse, New York City, New York",HOTEL,134,4,236,8.4,1,3
Manhattan,"The Gotham Hotel, New York",HOTEL,159,4.5,921,8,1,3
Manhattan,"Embassy Suites by Hilton New York Midtown Manhattan, New York",HOTEL,107,3.5,469,8.8,1,3
Manhattan,"Omni Berkshire Place, New York",HOTEL,197,4.5,1322,8.8,1,3
Manhattan,"Travel Inn Hotel, New York",HOTEL,160,2.5,1123,7.8,1,3
Manhattan,"NobleDEN Hotel, New York",HOTEL,194,4,885,9.4,1,3
Manhattan,"East Village Hotel, New York",HOTEL,188,3,191,8.2,1,3
Manhattan,"The Westin New York at Times Square, New York",HOTEL,175,4.5,2108,8.4,1,3
Manhattan,"The Knickerbocker Hotel, New York",HOTEL,236,5,1227,9,1,3
Manhattan,"Mandarin Oriental, New York, New York",HOTEL,895,5,106,9.2,1,3
Manhattan,"Club Quarters Hotel, World Trade Center, New York",HOTEL,143,4,928,8.8,1,3
Manhattan,"Dream Downtown, New York",HOTEL,150,4.5,769,7.6,1,3
Manhattan,"AKA Tribeca, New York",HOTEL,224,4,241,9,1,3
Manhattan,"Midtown Convention Center Hotel, New York",HOTEL,184,3,346,6,1,3
Manhattan,"The James New York- SoHo, New York",HOTEL,253,4.5,310,8.2,1,3
Manhattan,"6 Columbus Central Park a Sixty Hotel, New York",HOTEL,190,4.5,240,7.6,1,3
Manhattan,"Millennium Times Square New York, New York",HOTEL,180,4,3365,7.6,1,3
Manhattan,"U Hotel Fifth Avenue, New York",HOTEL,109,3,352,8,1,3
Manhattan,"New World Hotel, New York",HOTEL,71,1.5,574,3.6,1,3
Manhattan,"Aloft Manhattan Downtown - Financial District, New York",HOTEL,109,3,300,8.8,1,3
Manhattan,"Salisbury Hotel, New York",HOTEL,88,3,5038,7.4,1,3
Manhattan,"The Bowery House, New York",HOTEL,109,2,259,6.2,1,3
Manhattan,"Flatiron Hotel, New York",HOTEL,149,4,372,6.6,1,3
Manhattan,"Days Hotel by Wyndham on Broadway NYC, New York",HOTEL,97,2.5,1641,5.8,1,3
Manhattan,"Carvi Hotel New York, New York",HOTEL,119,3,214,8.4,1,3
Manhattan,"Hotel Boutique at Grand Central, New York",HOTEL,137,4,1009,8.8,1,3
Manhattan,"The Wall Street Inn, New York",HOTEL,134,3,418,8.8,1,3
Manhattan,"San Carlos Hotel, New York",HOTEL,184,4.5,639,9,1,3
Manhattan,"Courtyard by Marriott New York City Manhattan Midtown East, New York",HOTEL,99,3.5,1826,8.8,1,3
Manhattan,"Four Points by Sheraton Manhattan SoHo Village, New York",HOTEL,109,3.5,349,8.2,1,3
Manhattan,"Off Soho Suites Hotel, New York",HOTEL,179,2,375,7.4,1,3
Manhattan,"World Center Hotel, New York",HOTEL,149,4,1313,8.6,1,3
Manhattan,"Fitzpatrick Grand Central, New York",HOTEL,158,4,832,8.8,1,3
Manhattan,"The Jewel facing Rockefeller Center, New York",HOTEL,161,4,2029,8.8,1,3
Manhattan,"citizenM New York Times Square, New York",HOTEL,174,4,1145,9.4,1,3
Manhattan,"Avalon Hotel, New York",HOTEL,135,4,700,8.4,1,3
Manhattan,"Hilton Garden Inn New York/Manhattan-Midtown East, New York",HOTEL,119,3.5,736,8.6,1,3
Manhattan,"Viceroy Central Park New York, New York",HOTEL,209,4,687,7.8,1,3
Manhattan,"The Pearl New York, New York",HOTEL,152,4,1196,9.2,1,3
Manhattan,"TRYP By Wyndham Times Square South, New York",HOTEL,124,4.5,1235,8.2,1,3
Manhattan,"The Mansfield Hotel, New York",HOTEL,98,3.5,825,7,1,3
Manhattan,"Dream Midtown, New York",HOTEL,150,4,957,8.2,1,3
Manhattan,"Trump International Hotel & Tower New York, New York",HOTEL,524,5,539,9.2,1,3
Manhattan,"Life Hotel NoMad, New York",HOTEL,125,4,433,8,1,3
Manhattan,"The Westin New York Grand Central, New York",HOTEL,125,4.5,1389,8.4,1,3
Manhattan,"Hyatt Place New York Midtown South, New York",HOTEL,129,3.5,885,8.8,1,3
Manhattan,"Q&A Residential Hotel, New York",HOTEL,224,4,669,9.4,1,3
Manhattan,"Kimpton Hotel Eventi, New York",HOTEL,189,5,1064,9,1,3
Manhattan,"Best Western Bowery Hanbee Hotel, New York",HOTEL,104,3,758,8.4,1,3
Manhattan,"Holiday Inn Express - New York City Chelsea, New York",HOTEL,114,3,951,8.2,1,3
Manhattan,"Park Hyatt New York, New York",HOTEL,895,5,83,8.8,1,3
Manhattan,"Blue Moon Boutique Hotel, New York",HOTEL,249,3,335,6.8,1,3
Manhattan,"Cachet Boutique New York, New York",HOTEL,170,4,579,7.8,1,3
Manhattan,"AKA Central Park, New York",HOTEL,575,4,216,8.8,1,3
Manhattan,"Renaissance New York Times Square Hotel, New York",HOTEL,178,4,477,8.8,1,3
Manhattan,"Fairfield Inn & Suites by Marriott New York ManhattanChelsea, New York",HOTEL,104,3,303,8.6,1,3
Manhattan,"Renaissance New York Midtown Hotel, New York",HOTEL,237,4,519,9.2,1,3
Manhattan,"Leon Hotel, New York",HOTEL,120,3.5,256,8.6,1,3
Manhattan,"West 57th Street by Hilton Club, New York",HOTEL,542,4,16,9.2,1,3
Manhattan,"Hotel Americano, New York",HOTEL,209,4.5,127,7.8,1,3
Manhattan,"Hotel 50 Bowery NYC, New York",HOTEL,189,4.5,865,9.2,1,3
Manhattan,"Gild Hall, A Thompson Hotel, New York",HOTEL,189,4.5,581,9.2,1,3
Manhattan,"Hotel Beacon, New York",HOTEL,321,4,1132,9,1,3
Manhattan,"St Marks Hotel, New York",HOTEL,136,3,354,6.2,1,3
Manhattan,"The Kitano Hotel New York, New York",HOTEL,274,4.5,833,9,1,3
Manhattan,"CITY ROOMS NYC - Soho, New York",HOTEL,99,2.5,231,8.6,1,3
Manhattan,"SIXTY Lower East Side, New York",HOTEL,190,4.5,376,8,1,3
Manhattan,"The Lexington Hotel, Autograph Collection, New York",HOTEL,140,4,1891,8.4,1,3
Manhattan,"The Hilton Club - New York, New York",HOTEL,429,4,43,8.6,1,3
Manhattan,"Holiday Inn NYC - Lower East Side, New York",HOTEL,96,4,331,8.6,1,3
Manhattan,"The Kimpton Muse Hotel, New York",HOTEL,179,4.5,726,9.2,1,3
Manhattan,"Chelsea Savoy Hotel, New York",HOTEL,235,2,1365,8.2,1,3
Manhattan,"Hotel Mela Times Square, New York",HOTEL,99,4,2037,7.8,1,3
Manhattan,"The Shoreham Hotel, New York",HOTEL,143,4,754,7.4,1,3
Manhattan,"New York Marriott Marquis, New York",HOTEL,220,4.5,3182,8.8,1,3
Manhattan,"Millennium Premier New York Times Square, New York",HOTEL,185,4,1260,8.4,1,3
Manhattan,"W New York - Times Square, New York",HOTEL,219,4.5,848,8.2,1,3
Manhattan,"Sheraton Tribeca New York Hotel, New York",HOTEL,107,4,897,8,1,3
Manhattan,"Row NYC, New York",HOTEL,89,4,5653,6.8,1,3
Manhattan,"Hotel Plaza Athenee, New York",HOTEL,539,5,544,8.8,1,3
Manhattan,"Chelsea Inn, New York",HOTEL,85,3,543,7.4,1,3
Manhattan,"Comfort Inn Times Square West, New York",HOTEL,123,2.5,823,7.8,1,3
Manhattan,"The Bernic Hotel New York City, Tapestry Collection by Hilton, New York",HOTEL,116,4,475,9,1,3
Manhattan,"Residence Inn by Marriott New York Manhattan/Times Square, New York",HOTEL,169,3.5,700,8.6,1,3
Manhattan,"Archer Hotel New York, New York",HOTEL,199,4.5,1256,9.4,1,3
Manhattan,"The Quin Central Park by Hilton Club, New York",HOTEL,377,5,448,8.8,1,3
Manhattan,"Sheraton New York Times Square Hotel, New York",HOTEL,169,4,2553,7.8,1,3
Manhattan,"Macy Empire Apartments, New York",HOTEL,210,3.5,59,6,1,3
Manhattan,"Colonial House Inn, New York",HOTEL,177,3,72,7.6,1,3
Manhattan,"255West Guesthouse, New York",HOTEL,195,3.5,74,9,1,3
Manhattan,"Hilton Garden Inn New York/Central Park South-Midtown West, New York",HOTEL,109,3.5,1385,8.6,1,3
Manhattan,"Four Points by Sheraton Manhattan - Chelsea, New York",HOTEL,99,3,521,8.4,1,3
Manhattan,"The Gallivant Times Square , New York",HOTEL,109,3.5,1382,7.4,1,3
Manhattan,"3 West Club, New York",HOTEL,159,3.5,233,8.2,1,3
Manhattan,"Conrad New York, New York",HOTEL,297,5,775,9.6,1,3
Manhattan,"Crowne Plaza Times Square Manhattan, New York",HOTEL,105,4,3824,8.4,1,3
Manhattan,"Bowery Grand Hotel, New York",HOTEL,77,1,265,4.4,1,3
Manhattan,"Blakely New York, New York",HOTEL,225,4.5,718,8.8,1,3
Manhattan,"Pod 51, New York",HOTEL,129,3,3427,8,1,3
Manhattan,"Park West Hotel, New York",HOTEL,90,3,412,6.4,1,3
Manhattan,"The Standard East Village, New York",HOTEL,195,4,368,8.8,1,3
Manhattan,"Casamia 36 Hotel, New York",HOTEL,146,3,361,7.4,1,3
Manhattan,"The Frederick Hotel, New York",HOTEL,127,4,497,8.6,1,3
Manhattan,"Hotel Indigo Lower East Side New York, New York",HOTEL,178,4.5,771,8.8,1,3
Manhattan,"Hotel 32 32, New York",HOTEL,124,4,1330,8,1,3
Manhattan,"Hudson River Hotel, New York",HOTEL,109,2.5,315,7.4,1,3
Manhattan,"Club Quarters Hotel, opposite Rockefeller Center, New York",HOTEL,151,4,1651,8.2,1,3
Manhattan,"Clarion Hotel Park Avenue, New York",HOTEL,199,2.5,69,7.4,1,3
Manhattan,"Night Hotel Theater District, Times Square, New York",HOTEL,129,4,558,7.6,1,3
Manhattan,"The Gregory Hotel, New York",HOTEL,135,4,1009,8,1,3
Manhattan,"414 Hotel, New York",HOTEL,296,3.5,90,9.6,1,3
Manhattan,"Soho Grand Hotel, New York",HOTEL,199,4.5,759,8.8,1,3
Manhattan,"Hilton Garden Inn New York/Manhattan-Chelsea, New York",HOTEL,157,3.5,968,8.6,1,3
Manhattan,"Washington Square Hotel, New York",HOTEL,308,3.5,333,8.8,1,3
Manhattan,"The Marmara Manhattan, New York",HOTEL,286,3.5,335,8.4,1,3
Manhattan,"The Inn at Irving Place, New York",HOTEL,295,4,111,9,1,3
